iso_code,continent,location,date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,total_vaccinations_per_hundred,people_vaccinated_per_hundred,human_development_index,stringency_index,gdp_per_capita
AFG,Asia,Afghanistan,2023-02-15,209056.0,5082.962,7896.0,191.982,,,24.811,31.05,28.6,0.511,0.0,1803.987
ALB,Europe,Albania,2023-02-15,334264.0,117602.605,3596.0,1265.165,,,565.336,107.59,47.35,0.795,11.11,11803.431
DZA,Africa,Algeria,2023-02-15,271421.0,6044.577,6881.0,153.241,0.022,,5.219,34.0,17.46,0.748,11.11,13913.839
AND,Europe,Andorra,2023-02-15,47860.0,599426.374,165.0,2066.556,,,3799.719,196.34,72.52,0.868,11.11,
AGO,Africa,Angola,2023-02-15,105184.0,2955.52,1931.0,54.258,,,46.91,67.14,42.37,0.581,17.02,5819.495
AIA,North America,Anguilla,2023-02-15,3904.0,245890.282,12.0,755.81,,,3261.728,154.24,68.36,,,
ATG,North America,Antigua and Barbuda,2023-02-15,9106.0,97107.879,146.0,1556.968,,,179.146,145.58,68.56,0.778,,21490.943
ARG,South America,Argentina,2023-02-15,10042136.0,220656.219,130448.0,2866.339,8.174,,809.775,251.7,91.1,0.845,14.38,18933.907
ARM,Asia,Armenia,2023-02-15,446332.0,160523.825,8719.0,3135.799,,,1111.536,77.33,40.63,0.776,,8787.58
ABW,North America,Aruba,2023-02-15,44026.0,413548.878,282.0,2648.907,,,7.443,163.77,84.78,,25.93,35973.781
AUS,Oceania,Australia,2023-02-15,11330342.0,432828.993,19070.0,728.491,1.681,54.78,2830.525,243.27,84.95,0.944,11.11,44648.71
AUT,Europe,Austria,2023-02-15,5843614.0,653676.103,21796.0,2438.136,5.034,112.868,21272.133,226.67,77.14,0.922,35.19,45436.686
AZE,Asia,Azerbaijan,2023-02-15,828275.0,79964.159,10099.0,974.988,,,673.696,133.78,51.88,0.756,45.56,15847.419
BHS,North America,Bahamas,2023-02-15,37491.0,91443.917,833.0,2031.762,,,591.313,88.95,42.48,0.814,26.85,27717.847
BHR,Asia,Bahrain,2023-02-15,700835.0,476034.09,1544.0,1048.744,,,6812.903,236.15,84.31,0.852,11.11,43290.705
BGD,Asia,Bangladesh,2023-02-15,2037716.0,11903.495,29445.0,172.006,,,81.608,206.94,88.28,0.632,13.89,3523.984
BRB,North America,Barbados,2023-02-15,106434.0,377899.917,573.0,2034.469,,,2480.356,135.5,58.17,0.814,11.11,16978.068
BLR,Europe,Belarus,2023-02-15,994037.0,104251.871,7118.0,746.516,,,1380.273,199.77,68.47,0.823,0.0,17167.967
BEL,Europe,Belgium,2023-02-15,4700949.0,403309.888,33616.0,2884.027,3.689,83.82,2955.332,254.1,79.49,0.931,14.81,42658.576
BLZ,North America,Belize,2023-02-15,70721.0,174496.959,688.0,1697.571,,,1432.139,123.91,62.15,0.716,11.11,7824.362
BEN,Africa,Benin,2023-02-15,27990.0,2096.18,163.0,12.207,,,46.496,31.7,27.69,0.545,11.11,2064.236
BMU,North America,Bermuda,2023-02-15,18791.0,292662.794,159.0,2476.366,,,653.221,205.65,75.62,,24.07,50669.315
BTN,Asia,Bhutan,2023-02-15,62611.0,80018.455,21.0,26.839,,,2201.543,257.07,89.35,0.654,0.0,8708.597
BOL,South America,Bolivia,2023-02-15,1191492.0,97470.622,22356.0,1828.844,1.554,8.344,367.596,120.18,60.22,0.718,24.07,6885.829
BES,North America,Bonaire Sint Eustatius and Saba,2023-02-15,11797.0,436086.056,41.0,1515.6,,,,132.5,70.64,,,
BIH,Europe,Bosnia and Herzegovina,2023-02-15,401510.0,124170.798,16266.0,5030.416,,,458.37,59.53,29.18,0.78,25.93,11713.895
BWA,Africa,Botswana,2023-02-15,329595.0,125306.999,2801.0,1064.898,,,882.839,120.58,64.73,0.735,0.0,15807.374
BRA,South America,Brazil,2023-02-15,36971440.0,171709.806,697904.0,3241.339,,,330.912,224.99,87.86,0.765,22.22,14103.452
VGB,North America,British Virgin Islands,2023-02-15,7305.0,233148.219,64.0,2042.64,,,3104.878,132.3,62.13,,,
BRN,Asia,Brunei,2023-02-15,277441.0,617905.934,225.0,501.111,,,209.245,286.93,100.41,0.838,11.11,71809.251
BGR,Europe,Bulgaria,2023-02-15,1296071.0,191105.809,38200.0,5632.594,4.424,37.6,1463.898,67.95,31.06,0.816,11.11,18563.307
BFA,Africa,Burkina Faso,2023-02-15,22056.0,972.754,396.0,17.465,,,14.695,22.57,19.26,0.452,8.33,1703.102
BDI,Africa,Burundi,2023-02-15,53609.0,4159.095,38.0,2.948,,,128.377,0.26,0.25,0.433,19.44,702.225
KHM,Asia,Cambodia,2023-02-15,138705.0,8272.08,3056.0,182.254,,,179.493,272.02,90.97,0.594,5.56,3645.07
CMR,Africa,Cameroon,2023-02-15,123993.0,4441.878,1965.0,70.393,,,100.416,15.26,13.14,0.563,8.33,3364.926
CAN,North America,Canada,2023-02-15,4583529.0,119194.1,51031.0,1327.055,4.733,101.185,1629.606,252.13,90.4,0.929,5.56,44017.591
CPV,Africa,Cape Verde,2023-02-15,63237.0,106609.999,413.0,696.268,,,,144.98,60.14,0.665,11.11,6222.554
CYM,North America,Cayman Islands,2023-02-15,31472.0,457961.061,37.0,538.401,,,137.343,219.46,90.01,,,49903.029
CAF,Africa,Central African Republic,2023-02-15,15368.0,2754.542,113.0,20.254,,,17.364,45.44,41.08,0.397,8.33,661.24
TCD,Africa,Chad,2023-02-15,7661.0,432.256,194.0,10.946,,,12.74,35.82,35.03,0.398,13.89,1768.153
CHL,South America,Chile,2023-02-15,5142449.0,262319.846,64022.0,3265.806,4.948,,2040.365,319.78,92.27,0.851,13.89,22767.037
CHN,Asia,China,2023-02-15,2023904.0,1419.4,87468.0,61.343,,,6461.913,244.84,91.89,0.761,47.69,15308.712
COL,South America,Colombia,2023-02-15,6356468.0,122536.619,142296.0,2743.107,,,684.075,173.9,82.81,0.767,19.44,13254.949
COM,Africa,Comoros,2023-02-15,8997.0,10751.891,161.0,192.404,,,122.062,99.79,52.44,0.554,,1413.89
COG,Africa,Congo,2023-02-15,25073.0,4199.53,388.0,64.987,,,67.692,13.96,11.65,0.574,13.89,4881.406
COK,Oceania,Cook Islands,2023-02-15,7020.0,412165.336,2.0,117.426,,,,239.87,88.73,,,
CRI,North America,Costa Rica,2023-02-15,1194584.0,230577.459,9195.0,1774.81,,,713.534,246.64,88.89,0.81,11.11,15524.995
