iso_code,continent,location,date,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,total_vaccinations_per_hundred,people_vaccinated_per_hundred,human_development_index,stringency_index,gdp_per_capita
AFG,Asia,Afghanistan,2023-02-15,209056.0,5082.962,7896.0,191.982,,,,,,0.511,,1803.987
ALB,Europe,Albania,2023-02-15,334264.0,117602.605,3596.0,1265.165,,,,,,0.795,,11803.431
DZA,Africa,Algeria,2023-02-15,271421.0,6044.577,6881.0,153.241,,,,,,0.748,,13913.839
AND,Europe,Andorra,2023-02-15,47860.0,599426.374,165.0,2066.556,,,,,,0.868,,
AGO,Africa,Angola,2023-02-15,105184.0,2955.52,1931.0,54.258,,,,,,0.581,,5819.495
AIA,North America,Anguilla,2023-02-15,3904.0,245890.282,12.0,755.81,,,,,,,,
ATG,North America,Antigua and Barbuda,2023-02-15,9106.0,97107.879,146.0,1556.968,,,,,,0.778,,21490.943
ARG,South America,Argentina,2023-02-15,10042136.0,220656.219,130448.0,2866.339,,,,,,0.845,,18933.907
ARM,Asia,Armenia,2023-02-15,446332.0,160523.825,8719.0,3135.799,,,,,,0.776,,8787.58
ABW,North America,Aruba,2023-02-15,44026.0,413548.878,282.0,2648.907,,,,163.77,84.78,,,35973.781
AUS,Oceania,Australia,2023-02-15,11330342.0,432828.993,19070.0,728.491,,,,,,0.944,,44648.71
AUT,Europe,Austria,2023-02-15,5843614.0,653676.103,21796.0,2438.136,5.034,112.868,,,,0.922,,45436.686
AZE,Asia,Azerbaijan,2023-02-15,828275.0,79964.159,10099.0,974.988,,,,,,0.756,,15847.419
BHS,North America,Bahamas,2023-02-15,37491.0,91443.917,833.0,2031.762,,,,,,0.814,,27717.847
BHR,Asia,Bahrain,2023-02-15,700835.0,476034.09,1544.0,1048.744,,,,,,0.852,,43290.705
BGD,Asia,Bangladesh,2023-02-15,2037716.0,11903.495,29445.0,172.006,,,,,,0.632,,3523.984
BRB,North America,Barbados,2023-02-15,106434.0,377899.917,573.0,2034.469,,,,,,0.814,,16978.068
BLR,Europe,Belarus,2023-02-15,994037.0,104251.871,7118.0,746.516,,,,,,0.823,,17167.967
BEL,Europe,Belgium,2023-02-15,4700949.0,403309.888,33616.0,2884.027,,,,,,0.931,,42658.576
BLZ,North America,Belize,2023-02-15,70721.0,174496.959,688.0,1697.571,,,,,,0.716,,7824.362
BEN,Africa,Benin,2023-02-15,27990.0,2096.18,163.0,12.207,,,,,,0.545,,2064.236
BMU,North America,Bermuda,2023-02-15,18791.0,292662.794,159.0,2476.366,,,,,,,,50669.315
BTN,Asia,Bhutan,2023-02-15,62611.0,80018.455,21.0,26.839,,,,,,0.654,,8708.597
BOL,South America,Bolivia,2023-02-15,1191492.0,97470.622,22356.0,1828.844,,,,,,0.718,,6885.829
BES,North America,Bonaire Sint Eustatius and Saba,2023-02-15,11797.0,436086.056,41.0,1515.6,,,,,,,,
BIH,Europe,Bosnia and Herzegovina,2023-02-15,401510.0,124170.798,16266.0,5030.416,,,,,,0.78,,11713.895
BWA,Africa,Botswana,2023-02-15,329595.0,125306.999,2801.0,1064.898,,,,,,0.735,,15807.374
BRA,South America,Brazil,2023-02-15,36971440.0,171709.806,697904.0,3241.339,,,,224.99,87.86,0.765,,14103.452
VGB,North America,British Virgin Islands,2023-02-15,7305.0,233148.219,64.0,2042.64,,,,,,,,
BRN,Asia,Brunei,2023-02-15,277441.0,617905.934,225.0,501.111,,,,,,0.838,,71809.251
BGR,Europe,Bulgaria,2023-02-15,1296071.0,191105.809,38200.0,5632.594,,,,67.95,,0.816,,18563.307
BFA,Africa,Burkina Faso,2023-02-15,22056.0,972.754,396.0,17.465,,,,,,0.452,,1703.102
BDI,Africa,Burundi,2023-02-15,53609.0,4159.095,38.0,2.948,,,,,,0.433,,702.225
KHM,Asia,Cambodia,2023-02-15,138705.0,8272.08,3056.0,182.254,,,,,,0.594,,3645.07
CMR,Africa,Cameroon,2023-02-15,123993.0,4441.878,1965.0,70.393,,,,,,0.563,,3364.926
CAN,North America,Canada,2023-02-15,4583529.0,119194.1,51031.0,1327.055,,,,,,0.929,,44017.591
CPV,Africa,Cape Verde,2023-02-15,63237.0,106609.999,413.0,696.268,,,,,,0.665,,6222.554
CYM,North America,Cayman Islands,2023-02-15,31472.0,457961.061,37.0,538.401,,,,,,,,49903.029
CAF,Africa,Central African Republic,2023-02-15,15368.0,2754.542,113.0,20.254,,,,,,0.397,,661.24
TCD,Africa,Chad,2023-02-15,7661.0,432.256,194.0,10.946,,,,,,0.398,,1768.153
CHL,South America,Chile,2023-02-15,5142449.0,262319.846,64022.0,3265.806,,,,,,0.851,,22767.037
CHN,Asia,China,2023-02-15,2023904.0,1419.4,87468.0,61.343,,,,,,0.761,,15308.712
COL,South America,Colombia,2023-02-15,6356468.0,122536.619,142296.0,2743.107,,,,,,0.767,,13254.949
COM,Africa,Comoros,2023-02-15,8997.0,10751.891,161.0,192.404,,,,,,0.554,,1413.89
COG,Africa,Congo,2023-02-15,25073.0,4199.53,388.0,64.987,,,,,,0.574,,4881.406
COK,Oceania,Cook Islands,2023-02-15,7020.0,412165.336,2.0,117.426,,,,,,,,
CRI,North America,Costa Rica,2023-02-15,1194584.0,230577.459,9195.0,1774.81,,,,,,0.81,,15524.995
CIV,Africa,Cote d'Ivoire,2023-02-15,88091.0,3128.171,834.0,29.616,,,,,,0.538,,3601.006
HRV,Europe,Croatia,2023-02-15,1268373.0,314704.564,17933.0,4449.477,,,,,,0.851,,22669.797
CUB,North America,Cuba,2023-02-15,1112532.0,99225.147,8530.0,760.779,,,,,,0.783,,
CUW,North America,Curacao,2023-02-15,45986.0,240546.521,301.0,1574.49,,,,,,,,
CYP,Europe,Cyprus,2023-02-15,645515.0,720435.22,1293.0,1443.069,,,,,,0.887,,32415.132
CZE,Europe,Czechia,2023-02-15,4597987.0,438154.315,42361.0,4036.691,2.478,48.79,,177.38,66.47,0.9,,32605.906
COD,Africa,Democratic Republic of Congo,2023-02-15,95646.0,966.022,1464.0,14.786,,,,,,0.48,,808.133
DNK,Europe,Denmark,2023-02-15,3401874.0,578327.816,8214.0,1396.402,2.21,34.171,,,,0.94,,46682.515
DJI,Africa,Djibouti,2023-02-15,15690.0,13998.292,189.0,168.622,,,,,,0.524,,2705.406
DMA,North America,Dominica,2023-02-15,15760.0,216608.483,74.0,1017.07,,,,,,0.742,,9673.367
DOM,North America,Dominican Republic,2023-02-15,660485.0,58820.512,4384.0,390.424,,,,,,0.756,,14600.861
ECU,South America,Ecuador,2023-02-15,1056578.0,58695.51,36008.0,2000.333,,,,,,0.759,,10581.936
EGY,Africa,Egypt,2023-02-15,515698.0,4646.342,24809.0,223.524,,,,,,0.707,,10550.206
SLV,North America,El Salvador,2023-02-15,201785.0,31845.405,4230.0,667.572,,,,,,0.673,,7292.458
GNQ,Africa,Equatorial Guinea,2023-02-15,17214.0,10277.53,183.0,109.259,,,,,,0.592,,22604.873
ERI,Africa,Eritrea,2023-02-15,10189.0,2765.713,103.0,27.958,,,,,,0.459,,1510.459
EST,Europe,Estonia,2023-02-15,614548.0,463437.662,2926.0,2206.53,,,,,,0.892,,29481.252
SWZ,Africa,Eswatini,2023-02-15,74158.0,61711.937,1423.0,1184.175,,,,,,0.611,,7738.975
ETH,Africa,Ethiopia,2023-02-15,499823.0,4051.088,7572.0,61.371,,,,,,0.485,,1729.927
FRO,Europe,Faeroe Islands,2023-02-15,34658.0,652484.139,28.0,527.138,,,,,,,,
FLK,South America,Falkland Islands,2023-02-15,1930.0,507761.115,,,,,,,,,,
FJI,Oceania,Fiji,2023-02-15,68864.0,74065.709,883.0,949.698,,,,,,0.743,,8702.975
FIN,Europe,Finland,2023-02-15,1460857.0,263657.144,8821.0,1592.024,,,,238.07,81.66,0.938,,40585.721
FRA,Europe,France,2023-02-15,39614530.0,584173.094,164726.0,2429.121,11.089,192.854,,,,0.901,,38605.671
PYF,Oceania,French Polynesia,2023-02-15,77957.0,254518.564,649.0,2118.893,,,,,,,,
GAB,Africa,Gabon,2023-02-15,48981.0,20502.747,306.0,128.087,,,,,,0.703,,16562.413
GMB,Africa,Gambia,2023-02-15,12586.0,4651.154,372.0,137.473,,,,,,0.496,,1561.767
GEO,Asia,Georgia,2023-02-15,1822045.0,486607.28,16950.0,4526.778,,,,,,0.812,,9745.079
DEU,Europe,Germany,2023-02-15,37970357.0,455444.763,167124.0,2004.61,9.308,,,,,0.947,,45229.245
